customer_id,signup_date,segment,company_size,industry,tier,price_offered,discount_type,discount_percent,final_price,converted,engagement_score
CUST-00001,2023-10-17,startup,1-10,Healthcare,Enterprise,229,seasonal,0.2,183.20000000000002,False,38.064829699136865
CUST-00002,2022-04-25,enterprise,200+,Technology,Enterprise,199,none,0.0,199.0,False,90.25159779864478
CUST-00003,2022-01-26,smb,11-50,Finance,Basic,39,retention,0.3,27.299999999999997,False,53.37818788316849
CUST-00004,2022-10-09,smb,11-50,Healthcare,Pro,79,annual_upfront,0.25,59.25,False,47.88113538279378
CUST-00005,2022-09-08,smb,11-50,Retail,Pro,99,none,0.0,99.0,False,73.33232203240104
CUST-00006,2022-08-17,smb,11-50,Retail,Basic,29,seasonal,0.2,23.200000000000003,False,59.7164235962852
CUST-00007,2022-05-23,startup,1-10,Healthcare,Basic,39,seasonal,0.2,31.200000000000003,False,44.16487195727229
CUST-00008,2022-04-15,startup,1-10,Finance,Basic,24,seasonal,0.2,19.200000000000003,True,77.84246875239171
CUST-00009,2023-11-24,mid_market,51-200,Healthcare,Enterprise,249,annual_upfront,0.25,186.75,False,61.49100980666853
CUST-00010,2023-07-13,smb,11-50,Finance,Basic,34,none,0.0,34.0,False,32.39664412768864
CUST-00011,2022-03-31,smb,11-50,Technology,Pro,79,none,0.0,79.0,False,90.29009261573344
CUST-00012,2023-08-28,smb,11-50,Finance,Pro,99,annual_upfront,0.25,74.25,False,39.66058042630923
CUST-00013,2023-03-09,startup,1-10,Technology,Pro,89,none,0.0,89.0,True,41.70704254258506
CUST-00014,2022-02-02,mid_market,51-200,Other,Enterprise,229,none,0.0,229.0,False,16.32220815043236
CUST-00015,2022-01-31,startup,1-10,Retail,Basic,39,none,0.0,39.0,False,82.17662702809504
CUST-00016,2022-04-06,enterprise,200+,Other,Pro,79,early_bird,0.15,67.14999999999999,True,90.11098119850122
CUST-00017,2022-08-12,smb,11-50,Finance,Pro,89,seasonal,0.2,71.2,False,73.86812571217722
CUST-00018,2022-08-27,startup,1-10,Other,Pro,99,annual_upfront,0.25,74.25,False,28.063959033952777
CUST-00019,2023-06-02,mid_market,51-200,Healthcare,Pro,89,none,0.0,89.0,False,42.762455137551925
CUST-00020,2023-09-09,smb,11-50,Technology,Pro,89,seasonal,0.2,71.2,False,35.46710179216777
CUST-00021,2022-01-28,startup,1-10,Technology,Pro,99,annual_upfront,0.25,74.25,False,48.63654014151537
CUST-00022,2023-07-29,startup,1-10,Healthcare,Basic,24,none,0.0,24.0,False,84.50562085953727
CUST-00023,2022-07-23,startup,1-10,Finance,Basic,39,none,0.0,39.0,False,77.39384041602464
CUST-00024,2023-10-28,startup,1-10,Finance,Basic,29,retention,0.3,20.299999999999997,False,31.917514697124403
CUST-00025,2023-12-20,mid_market,51-200,Technology,Pro,99,none,0.0,99.0,True,21.941607837884607
CUST-00026,2023-07-13,mid_market,51-200,Other,Enterprise,179,annual_upfront,0.25,134.25,False,72.8670291606015
CUST-00027,2023-03-06,smb,11-50,Healthcare,Pro,79,annual_upfront,0.25,59.25,False,22.6826815215166
CUST-00028,2022-08-14,smb,11-50,Healthcare,Pro,99,early_bird,0.15,84.14999999999999,False,41.70138303477303
CUST-00029,2023-04-05,smb,11-50,Retail,Pro,99,none,0.0,99.0,False,85.41245877199948
CUST-00030,2023-08-27,enterprise,200+,Finance,Enterprise,199,none,0.0,199.0,True,73.64707861337095
CUST-00031,2022-10-12,smb,11-50,Finance,Basic,24,none,0.0,24.0,False,58.008189847077794
CUST-00032,2022-01-07,startup,1-10,Healthcare,Pro,89,none,0.0,89.0,False,44.08884672620088
CUST-00033,2022-06-13,startup,1-10,Other,Basic,29,none,0.0,29.0,False,31.291338017437642
CUST-00034,2023-12-16,startup,1-10,Retail,Basic,24,none,0.0,24.0,False,44.48456008435207
